"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @XHNews: The first @ATLANTIS resort in China opens in south China's island province of Hainan during #ChineseNewYear https://t.co/5nalEJ…",FALSE,0,NA,2018-02-26 14:05:34,FALSE,NA,"968124885162749957",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChinaTravelOut",27,TRUE,FALSE,NA,NA
"2","A little late, but Happy #ChineseNewYear 
#postcard #Digital https://t.co/n0yguNMuFA",FALSE,0,NA,2018-02-26 14:04:05,FALSE,NA,"968124512125538304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wolfgang_wiler",0,FALSE,FALSE,NA,NA
"3","Last week, 15 Mandarin students traveled to the Chinese New Year Celebration at the Campus Center at @UMassBoston.… https://t.co/yDrvmgOmFg",FALSE,0,NA,2018-02-26 14:03:34,TRUE,NA,"968124381368078336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DanaHallSchool",0,FALSE,FALSE,NA,NA
"4","Which dish would you tuck into first? <ed><U+00A0><U+00BD><ed><U+00B3><U+00B7>: @bejal.m #duckandrice #soholondon #chinesefood #chinesenewyear #londoneats https://t.co/bBwLHGI6mR",FALSE,0,NA,2018-02-26 14:02:47,FALSE,NA,"968124187272499200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","theduckandrice",0,FALSE,FALSE,NA,NA
"5","To celebrate #ChineseNewYear, Mandarin classes held a dumpling workshop in upper school and invited community membe… https://t.co/LNQnscqDHB",FALSE,0,NA,2018-02-26 14:01:45,TRUE,NA,"968123926940454912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MosesBrown",0,FALSE,FALSE,NA,NA
"6","@eboractrust Lots of sensory fun this morning in early years! We have been exploring noodles! #EYFS #ChineseNewYear https://t.co/pnMRgWB1Pn",FALSE,0,"eboractrust",2018-02-26 13:50:00,FALSE,NA,"968120969029148672","709711603135025152","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","staynorHprimary",0,FALSE,FALSE,NA,NA
"7","Gong Xi Fa Cai! Celebrating #ChineseNewYear this weekend w/ amazing performances by @YuYingPCS students &amp; faculty https://t.co/eXIdsGqrAf",FALSE,2,NA,2018-02-26 13:49:21,FALSE,NA,"968120803538685953",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","FatemaDC",0,FALSE,FALSE,NA,NA
"8","RT @leehsienloong: Hope you’re looking fwd to your reunion dinner tonight! You can read my 2018 #ChineseNewYear msg here: https://t.co/Ejpi…",FALSE,0,NA,2018-02-26 13:46:56,FALSE,NA,"968120199244206081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fmpeternuansa",76,TRUE,FALSE,NA,NA
"9","RT @leehsienloong: Here are the highlights from my visit to Gali Batu &amp; Tuas depots this morning. I hope your #ChineseNewYear has been goin…",FALSE,0,NA,2018-02-26 13:46:16,FALSE,NA,"968120029400084480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fmpeternuansa",24,TRUE,FALSE,NA,NA
"10","RT @leehsienloong: Glad to welcome &amp; catch up w/ the Ang Mo Kio GRC &amp; Sengkang West team at my yearly #ChineseNewYear open house ytdy. – LH…",FALSE,0,NA,2018-02-26 13:46:11,FALSE,NA,"968120008583782400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fmpeternuansa",25,TRUE,FALSE,NA,NA
